Date,Open,High,Low,Close,Adj Close,Volume
01/01/2023,11.82,13.57,11.57,13.51,11.762152,1101986500
01/02/2023,13.52,14.6,11.75,12.07,10.508452,1378835100
01/03/2023,12.35,13.18,11.12,12.6,11.661443,1809051600
01/04/2023,12.53,13.08,11.44,11.88,10.995076,1060423900
01/05/2023,12.01,12.78,11.24,12,11.244848,1397215200
01/06/2023,12.07,15.23,11.84,15.13,14.177879,1251011600
01/07/2023,15.15,15.42,12.91,13.21,12.378703,1172343600
01/08/2023,13.15,13.44,11.58,12.13,11.490397,1042176300
01/09/2023,12.16,12.91,11.83,12.42,11.765105,920600700
01/10/2023,12.38,12.44,9.63,9.75,9.235892,1308744600
01/11/2023,9.84,10.96,9.67,10.26,9.870544,1060361800
01/12/2023,10.29,12.5,10.22,12.19,11.727283,1016066800
,,,,,,
,,14.96,,,,
,,17.02,,,,
,,14.71,,,,
,,14.83,,,,
,,11.94,,,,
,,12.66,,,,
,,12.36,,,,
,,11.22,,,,
,,10.97,,,,
,,10.04,,,,
,,8.8,,,,
,,9.53,,,,
,,8.82,,,,
,,6.61,,,,
,,10.53,,,,
,,13.95,,,,
,,20.299999,,,,
,,14.69,,,,
,,13.51,,,,
,,13.21,,,,
,,12.19,,,,
