Date,Open,High,Low,Close,Adj Close,Volume
01/01/2014,19.845715,20.007143,17.626785,17.878571,15.632812,8765954400
01/02/2014,17.950357,19.685356,17.832144,18.794287,16.433512,5880366800
01/03/2014,18.693571,19.607143,18.671785,19.169287,16.861732,5001698800
01/04/2014,19.205713,21.408215,18.261786,21.074642,18.537722,6435060800
01/05/2014,21.142857,23.006071,20.72607,22.607143,19.885744,5735668400
01/06/2014,22.64143,23.762501,22.232143,23.2325,20.549967,4827739200
01/07/2014,23.379999,24.860001,23.1425,23.9,21.140388,4140344000
01/08/2014,23.725,25.725,23.32,25.625,22.666212,3748308000
01/09/2014,25.764999,25.934999,24.035,25.1875,22.390051,6105680000
01/10/2014,25.147499,27.01,23.795,27,24.001244,5441120800
01/11/2014,27.055,29.9375,26.93,29.7325,26.43026,3281632800
01/12/2014,29.702499,29.8125,26.565001,27.594999,24.63653,4294378400
01/01/2015,27.8475,30,26.157499,29.290001,26.149809,5221053600
01/02/2015,29.512501,33.400002,29.02,32.115002,28.671942,4546140800
01/03/2015,32.3125,32.57,30.407499,31.1075,27.882061,4554568400
01/04/2015,31.205,33.634998,30.775,31.2875,28.043396,3984542000
01/05/2015,31.525,33.2425,30.84,32.57,29.192924,3816608400
01/06/2015,32.57,32.8475,31.120001,31.3575,28.223536,3514426800
01/07/2015,31.725,33.2425,29.805,30.325001,27.294233,4233122400
01/08/2015,30.375,30.6425,23,28.190001,25.37261,6427276400
01/09/2015,27.5375,29.2225,26.84,27.575001,24.931416,4826189200
01/10/2015,27.2675,30.305,26.827499,29.875,27.010912,4450048400
01/11/2015,30.200001,30.955,27.75,29.575001,26.739679,3002562400
01/12/2015,29.6875,29.965,26.205,26.315001,23.894054,3687660800
01/01/2016,25.6525,26.4625,23.0975,24.334999,22.096207,5087392000
01/02/2016,24.1175,24.7225,23.147499,24.172501,21.948662,3243450400
01/03/2016,24.4125,27.605,24.355,27.247499,24.875019,2984198400
01/04/2016,27.195,28.0975,23.127501,23.434999,21.394468,3489534800
01/05/2016,23.4925,25.182501,22.3675,24.965,22.791262,3602686000
01/06/2016,24.754999,25.4725,22.875,23.9,21.95183,3117990800
01/07/2016,23.872499,26.137501,23.592501,26.0525,23.928871,2743118400
01/08/2016,26.102501,27.557501,26,26.525,24.362858,2520514000
01/09/2016,26.535,29.045,25.6325,28.262501,26.099352,3872062400
01/10/2016,28.1775,29.672501,28.07,28.385,26.212475,2747657200
01/11/2016,28.365,28.442499,26.02,27.629999,25.515261,2886220000
01/12/2016,27.592501,29.504999,27.0625,28.955,26.876131,2435086800
01/01/2017,28.950001,30.610001,28.690001,30.3375,28.159376,2252488000
01/02/2017,31.7575,34.369999,31.752501,34.247501,31.788647,2299874400
01/03/2017,34.4725,36.125,34.262501,35.915001,33.480957,2246513600
01/04/2017,35.927502,36.365002,35.014999,35.912498,33.47863,1493216400
01/05/2017,36.275002,39.162498,36.067501,38.189999,35.601784,2615927200
01/06/2017,38.2925,38.994999,35.549999,36.005001,33.7034,2736712400
01/07/2017,36.220001,38.497501,35.602501,37.182499,34.805622,1688047600
01/08/2017,37.275002,41.130001,37.102501,41,38.379093,2644276000
01/09/2017,41.200001,41.235001,37.290001,38.529999,36.208633,2721496400
01/10/2017,38.564999,42.412498,38.115002,42.259998,39.713905,2017165200
01/11/2017,42.467499,44.060001,41.32,42.962502,40.374081,2402653600
01/12/2017,42.487499,44.299999,41.615002,42.307499,39.90147,2124735200
01/01/2018,42.540001,45.025002,41.174999,41.857498,39.477055,2638717600
01/02/2018,41.7925,45.154999,37.560001,44.529999,41.997574,3711577200
01/03/2018,44.634998,45.875,41.235001,41.945,39.720871,2854910800
01/04/2018,41.66,44.735001,40.157501,41.314999,39.124275,2664617200
01/05/2018,41.602501,47.592499,41.317501,46.717499,44.240307,2483905200
01/06/2018,46.997501,48.549999,45.182499,46.2775,43.992634,2110498000
01/07/2018,45.955002,48.990002,45.855,47.572498,45.223694,1574765600
01/08/2018,49.782501,57.217499,49.327499,56.907501,54.09779,2801275600
01/09/2018,57.102501,57.4175,53.825001,56.435001,53.836777,2715888000
01/10/2018,56.987499,58.3675,51.522499,54.715,52.195957,3158994000
01/11/2018,54.762501,55.59,42.564999,44.645,42.589577,3845305600
01/12/2018,46.115002,46.235001,36.647499,39.435001,37.750702,3595690000
01/01/2019,38.7225,42.25,35.5,41.610001,39.832802,3312349600
01/02/2019,41.740002,43.967499,41.482498,43.287498,41.438656,1890162400
01/03/2019,43.57,49.422501,42.375,47.487499,45.65424,2603925600
01/04/2019,47.91,52.119999,47.095001,50.1675,48.23077,2024470800
01/05/2019,52.470001,53.827499,43.747501,43.767502,42.07785,2957826400
01/06/2019,43.900002,50.392502,42.567501,49.48,47.753006,2060874800
01/07/2019,50.7925,55.342499,49.602501,53.259998,51.401073,1895406800
01/08/2019,53.474998,54.5075,48.145,52.185001,50.363605,2724326400
01/09/2019,51.607498,56.605,51.055,55.9925,54.243523,2170268400
01/10/2019,56.267502,62.4375,53.782501,62.189999,60.247437,2433210800
01/11/2019,62.384998,67,62.290001,66.8125,64.72554,1793326000
01/12/2019,66.817497,73.4925,64.072502,73.412498,71.332909,2388794800
01/01/2020,74.059998,81.962502,73.1875,77.377502,75.185585,2934370400
01/02/2020,76.074997,81.805,64.092499,68.339996,66.404106,3019279200
01/03/2020,70.57,76,53.1525,63.572498,61.918259,6280072400
01/04/2020,61.625,73.6325,59.224998,73.449997,71.538734,3265299200
01/05/2020,71.5625,81.059998,71.462502,79.485001,77.416672,2805936000
01/06/2020,79.4375,93.095001,79.302498,91.199997,89.067291,3243375600
01/07/2020,91.279999,106.415001,89.144997,106.260002,103.775124,3020283200
01/08/2020,108.199997,131,107.892502,129.039993,126.022423,4070061100
01/09/2020,132.759995,137.979996,103.099998,115.809998,113.305725,3885245100
01/10/2020,117.639999,125.389999,107.720001,108.860001,106.506012,2894666500
01/11/2020,109.110001,121.989998,107.32,119.050003,116.47567,2123077300
01/12/2020,121.010002,138.789993,120.010002,132.690002,130.044678,2322189600
01/01/2021,133.520004,145.089996,126.379997,131.960007,129.329239,2240262000
01/02/2021,133.75,137.880005,118.389999,121.260002,118.842552,1833855600
01/03/2021,123.75,128.720001,116.209999,122.150002,119.893715,2650418200
01/04/2021,123.660004,137.070007,122.489998,131.460007,129.031723,1889857500
01/05/2021,132.039993,134.070007,122.25,124.610001,122.308266,1711934900
01/06/2021,125.080002,137.410004,123.129997,136.960007,134.658478,1606590000
01/07/2021,136.600006,150,135.759995,145.860001,143.408905,1919035100
01/08/2021,146.360001,153.490005,144.5,151.830002,149.27858,1461542800
01/09/2021,152.830002,157.259995,141.270004,141.5,139.330612,1797835100
01/10/2021,141.899994,153.169998,138.270004,149.800003,147.503372,1565079200
01/11/2021,148.990005,165.699997,147.479996,165.300003,162.765732,1691029000
01/12/2021,167.479996,182.130005,157.800003,177.570007,175.102829,2444766700
